farmer_id,farm_id,farm_type,size_ha,disposition,age,inherited,succession_stage,loan_principal,loan_rate,current_debt,debt_payments,debt_maturity,debt_free,debt_asset_ratio,n_holdings,n_local_links,n_catchment_links,Build_Wetland,Clean_Races,Farm_Plan,Riparian_Planting,x,y
27019,29821,Dairy,96,for_profit,61,FALSE,2,2400,3,2400,161,0,FALSE,0.095,2,10,14,1,0,0,1,79,134
27020,29977,Dairy,128,pro_environmental,64,FALSE,1,5280,3,5280,355,5,FALSE,0.001,4,13,10,3,3,4,1,93,122
27021,28996,Forest,384,for_profit,62,FALSE,2,1661023,3,1661023,362692,20,FALSE,0.317,1,10,17,0,0,0,0,72,257
27022,29066,Forest,384,for_profit,76,FALSE,2,2896683,3,891680.8852680568,194703,20,FALSE,0.168,1,12,15,0,0,0,0,107,148
27023,29931,SNB,144,for_profit,57,FALSE,3,549326,3,549326,46015,10,FALSE,0.592,2,14,12,0,0,1,0,13,300
27024,30172,Dairy,80,for_profit,62,FALSE,3,1966597,3,1966597,132186,5,FALSE,0.675,1,12,8,0,0,1,0,61,163
27025,29903,Dairy,96,for_profit,57,FALSE,2,2447467,3,2447467,164508,5,FALSE,0.649,1,11,12,1,1,1,1,46,150
27026,30206,Forest,800,for_profit,64,FALSE,2,0,0,0,0,21,TRUE,0,9,11,15,0,0,0,0,159,12
27027,29646,Crop,96,for_profit,58,FALSE,2,509886,3,509886,111336,20,FALSE,0.123,2,11,10,2,0,0,1,114,91
27028,30486,Forest,64,pro_environmental,56,FALSE,3,905660,3,905660,60875,5,FALSE,0.705,2,15,11,1,0,0,1,87,126
27029,29858,Dairy,128,for_profit,56,FALSE,3,1590030,3,1590030,186400,15,FALSE,0.361,4,8,13,1,0,1,0,123,65
27030,28797,SNB,128,for_profit,60,TRUE,2,4741,3,1459.4137767425213,397,20,FALSE,0.003,2,17,10,2,0,0,1,94,91
27031,28916,Dairy,96,for_profit,55,FALSE,2,1222364,3,1222364,143298,15,FALSE,0.351,2,13,11,1,0,0,1,54,141
27032,30146,Forest,64,for_profit,39,FALSE,3,354127,3,354127,29664,10,FALSE,0.498,2,11,12,0,0,0,0,127,53
27033,30289,Dairy,112,pro_environmental,43,FALSE,2,2569364,3,2569364,172702,5,FALSE,0.655,2,14,8,2,0,0,2,125,42
27034,30364,Dairy,32,pro_environmental,58,FALSE,1,2627,3,1506.2262287381218,220,15,FALSE,0.001,1,12,14,0,1,1,1,121,225
27035,29171,Crop,240,for_profit,48,FALSE,2,6362924,3,6362924,427688,5,FALSE,0.642,4,16,14,0,0,3,2,116,119
27036,30256,SNB,112,for_profit,60,FALSE,2,325149,3,325149,27237,10,FALSE,0.614,4,11,10,4,0,0,2,129,43
27037,30227,Dairy,176,pro_environmental,59,FALSE,2,2400,3,2400,161,0,FALSE,0.148,2,8,12,1,0,2,0,98,243
27038,30201,SNB,176,for_profit,63,FALSE,4,636002,3,636002,42749,5,FALSE,0.734,2,12,17,0,0,0,0,24,268
27039,30350,Dairy,144,for_profit,75,FALSE,3,1600,3,1600,108,0,FALSE,0.105,2,12,11,0,0,2,1,59,158
27040,29319,Dairy,160,for_profit,58,FALSE,2,1892069,3,1892069,221808,15,FALSE,0.304,2,13,13,0,0,1,0,47,143
27041,30365,Dairy,144,for_profit,56,FALSE,2,2988706,3,2988706,250354,10,FALSE,0.634,2,12,10,1,1,1,0,120,74
27042,29305,Dairy,64,for_profit,75,FALSE,4,0,0,0,0,21,TRUE,0,2,14,11,0,0,0,0,127,76
27043,30301,Dairy,256,for_profit,71,FALSE,2,2453985,3,2453985,287682,15,FALSE,0.283,2,11,17,2,0,1,0,91,111
27044,28775,Dairy,64,for_profit,60,FALSE,2,192,3,192,13,5,FALSE,0,2,9,13,0,0,2,0,105,139
27045,29918,SNB,272,for_profit,67,FALSE,3,450781,3,450781,52845,15,FALSE,0.361,4,12,10,2,0,2,0,12,314
27046,29316,Forest,64,for_profit,68,FALSE,2,497544,3,285273.628759528,33443,15,FALSE,0.331,1,12,12,0,0,0,0,144,88
27047,29446,SNB,352,for_profit,65,FALSE,4,808275,3,808275,67706,10,FALSE,0.567,1,11,10,0,0,1,0,129,206
27048,29417,Dairy,160,for_profit,51,FALSE,5,3654361,3,3654361,306113,10,FALSE,0.591,3,14,12,0,0,0,0,122,133
27049,28917,Dairy,64,for_profit,70,TRUE,2,1440,3,1440,97,0,FALSE,0,2,12,10,2,0,2,0,147,215
27050,30336,SNB,208,for_profit,62,FALSE,2,130770,3,130770,28554,20,FALSE,0.116,7,12,10,4,0,1,0,95,80
27051,30587,Dairy,160,pro_environmental,57,FALSE,3,3656026,3,3656026,245742,5,FALSE,0.676,2,12,16,2,1,0,1,18,275
27052,29040,SNB,112,for_profit,35,TRUE,3,323874,3,323874,27130,10,FALSE,0.507,2,9,10,0,0,0,1,103,211
27053,30420,Dairy,96,pro_environmental,46,FALSE,3,640,3,640,43,0,FALSE,0.14,4,11,19,1,3,3,2,145,211
27054,29484,Dairy,64,for_profit,53,FALSE,2,288468,3,288468,62988,20,FALSE,0.117,2,16,11,0,0,0,1,133,213
27055,29742,Forest,80,for_profit,72,FALSE,3,740053,3,227809.2266862757,49743,20,FALSE,0.206,1,14,14,0,0,0,0,83,197
27056,29682,Dairy,32,for_profit,40,FALSE,3,395013,3,395013,46308,15,FALSE,0.339,1,13,13,0,0,1,0,110,99
27057,28873,Dairy,80,for_profit,64,FALSE,2,1920,3,1920,129,0,FALSE,0,2,15,12,1,2,0,1,9,310
27058,29215,Dairy,96,for_profit,53,FALSE,2,2156891,3,2156891,144977,5,FALSE,0.625,2,14,12,0,2,0,1,85,260
27059,29574,Dairy,144,pro_environmental,73,FALSE,1,7200,3,4128.218061254083,484,15,FALSE,0.001,1,11,11,0,0,0,1,92,185
27060,29576,Dairy,112,for_profit,36,FALSE,3,2678450,3,2678450,180034,5,FALSE,0.608,1,13,14,0,0,0,0,48,259
27061,28768,SNB,128,for_profit,54,FALSE,3,342718,3,342718,28708,10,FALSE,0.561,2,6,11,0,0,0,1,142,196
