from,to
27073,27095
27104,27073
27073,27141
28182,27073
27074,27907
27966,27074
27074,27968
28665,27074
27075,27309
27424,27075
27075,27592
27744,27075
27075,28497
27305,27076
27358,27076
27978,27076
28001,27076
27076,28271
27076,28276
27586,27077
27077,27919
28364,27077
27077,28382
27077,28500
27078,27153
27078,27285
27078,27394
27078,27599
27078,27664
27840,27078
27078,27893
27078,27993
28022,27078
27079,27212
27079,27286
27079,27947
27079,28175
27079,28204
27079,28609
27482,27080
27080,27732
27755,27080
27080,27808
28239,27080
27080,28299
27544,27081
27081,27610
28042,27081
27081,28125
27081,28528
28581,27081
28603,27081
27081,28660
27134,27082
27256,27082
27762,27082
27498,27083
27764,27083
27083,28310
28506,27083
28513,27083
28587,27083
27084,27218
27230,27084
27484,27084
27084,27906
27084,27936
28663,27084
27085,27300
27085,27451
27085,28137
28310,27085
27085,28388
27160,27086
27653,27086
27086,27725
28367,27086
27087,27517
27087,27822
28070,27087
28377,27087
27087,28385
28511,27087
27224,27088
27088,27257
27747,27088
27088,27918
27088,28524
28563,27088
27089,27714
27089,27937
28161,27089
28502,27089
28577,27089
28634,27089
27569,27090
27583,27090
27734,27090
27090,27773
27927,27090
27582,27091
28215,27091
28287,27091
28441,27091
28580,27091
28639,27091
27092,27551
27092,27627
28064,27092
28562,27092
28569,27092
27092,28661
27093,27427
27892,27093
27093,27991
27093,28149
27094,27668
27094,27771
28349,27094
27143,27095
27176,27095
27095,27268
27798,27095
27095,28445
27153,27096
27307,27096
27096,27522
27632,27096
27677,27096
28026,27096
27096,28051
28085,27096
27202,27097
27826,27097
27097,28056
27097,28068
28071,27097
27098,27525
27098,28719
27099,27133
27139,27099
27099,27325
27099,28273
27099,28274
28553,27099
27100,27696
27100,27755
27796,27100
27928,27100
28337,27100
27100,28471
27100,28574
28587,27100
27308,27101
27101,27801
28511,27101
27102,27261
27509,27102
27102,27556
27102,28326
27102,28466
27102,28530
27984,27103
27103,28164
27103,28258
28284,27103
28437,27103
28712,27103
